AÑO;DISTRITO;BARRIO;Total;España;Unión Europea (15);Unión Europea (ampliación a 28);Resto países OCDE;Otros países de Europa;Otros países de América Latina;África;Otros países de Asia y Australasia
2019;06. Tetuán;062. Cuatro Caminos;289;230;3;1;6;0;33;2;14
2019;06. Tetuán;063. Castillejos;173;142;3;1;0;0;14;3;10
2019;06. Tetuán;064. Almenara;184;145;3;1;3;0;19;3;10
2019;06. Tetuán;065. Valdeacederas;279;193;0;8;1;1;45;12;19
2019;06. Tetuán;066. Berruguete;214;137;3;1;1;0;41;9;22
2019;07. Chamberí;07. Chamberí;1.124;1.004;28;14;12;1;38;6;21
2019;07. Chamberí;071. Gaztambide;153;142;0;0;1;0;6;0;4
2019;07. Chamberí;072. Arapiles;196;180;2;2;2;1;5;2;2
2019;07. Chamberí;073. Trafalgar;190;167;3;4;4;0;5;1;6
2019;07. Chamberí;074. Almagro;172;149;9;2;2;0;5;0;5
2019;07. Chamberí;075. Ríos Rosas;258;231;6;3;3;0;11;1;3
2019;07. Chamberí;076. Vallehermoso;155;135;8;3;0;0;6;2;1
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.502;2.269;25;35;13;8;96;19;37
2019;08. Fuencarral-El Pardo;081. El Pardo;25;23;0;0;0;0;1;1;0
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;27;23;0;0;1;0;0;0;3
2019;08. Fuencarral-El Pardo;083. Peñagrande;314;279;0;7;0;0;21;4;3
2019;08. Fuencarral-El Pardo;084. Pilar;358;290;5;16;2;2;28;5;10
2019;08. Fuencarral-El Pardo;085. La Paz;255;241;1;2;2;2;4;1;2
2019;08. Fuencarral-El Pardo;086. Valverde;771;698;6;10;3;2;31;8;13
2019;08. Fuencarral-El Pardo;087. Mirasierra;411;390;5;0;4;2;8;0;2
2019;08. Fuencarral-El Pardo;088. El Goloso;341;325;8;0;1;0;3;0;4
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;922;831;18;14;3;1;40;1;13
2019;09. Moncloa-Aravaca;091. Casa de Campo;96;90;3;2;1;0;0;0;0
2019;09. Moncloa-Aravaca;092. Argüelles;153;136;3;4;2;0;4;0;4
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;125;115;2;1;0;0;5;0;1
