AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PACMA;Ciudadanos;PSOE;PH;PCTE;PCPE;PUM+J;PACT;VOX;PODEMOS-IUEQUO;PP;RECORTES CERO-GV-PCAS-TC;PODEMOS-IU;MÁS PAÍS-EQUO
2019;14. Moratalaz;143. Marroquina;22.611;4.720;135;127;17.629;102;1.531;4.906;10;6;13;28;-;2.392;-;5.287;17;2.264;1.073
2019;14. Moratalaz;144. Media Legua;14.216;3.737;72;75;10.332;84;779;2.870;4;4;3;17;-;1.535;-;2.929;10;1.458;639
2019;14. Moratalaz;145. Fontarrón;12.838;3.960;67;75;8.736;86;565;2.893;6;5;5;8;-;1.167;-;1.906;16;1.454;625
2019;14. Moratalaz;146. Vinateros;13.207;3.458;65;54;9.630;71;735;2.995;6;4;5;17;-;1.253;-;2.463;15;1.549;517
2019;15. Ciudad Lineal;15. Ciudad Lineal;160.459;43.020;758;887;115.794;983;10.595;30.661;88;54;85;157;-;18.171;-;34.787;153;13.522;6.538
2019;15. Ciudad Lineal;151. Ventas;35.387;10.877;192;178;24.140;236;1.953;7.370;25;16;19;28;-;3.345;-;6.161;36;3.475;1.476
2019;15. Ciudad Lineal;152. Pueblo Nuevo;44.654;13.356;236;212;30.850;291;2.541;9.827;32;21;39;41;-;4.216;-;7.716;40;4.244;1.842
2019;15. Ciudad Lineal;153. Quintana;17.751;5.334;80;78;12.259;125;1.045;3.541;3;2;4;18;-;1.850;-;3.232;20;1.657;762
2019;15. Ciudad Lineal;154. Concepción;15.688;4.168;69;95;11.356;94;1.108;2.824;10;3;11;11;-;1.849;-;3.345;14;1.366;721
2019;15. Ciudad Lineal;155. San Pascual;14.353;3.248;68;81;10.956;89;1.105;2.793;4;3;6;13;-;1.669;-;3.518;18;1.104;634
2019;15. Ciudad Lineal;156. San Juan Bautista;9.391;1.736;37;66;7.552;43;852;1.473;2;1;2;14;-;1.276;-;2.761;7;674;447
2019;15. Ciudad Lineal;157. Colina;4.800;933;17;42;3.808;27;422;759;4;2;1;6;-;691;-;1.372;2;320;202
2019;15. Ciudad Lineal;158. Atalaya;1.117;238;3;5;871;9;86;131;1;0;0;1;-;134;-;437;1;43;28
2019;15. Ciudad Lineal;159. Costillares;17.318;3.130;56;130;14.002;69;1.483;1.943;7;6;3;25;-;3.141;-;6.245;15;639;426
2019;16. Hortaleza;16. Hortaleza;138.074;30.468;663;969;105.974;778;11.670;25.538;68;33;35;139;-;19.468;-;31.594;126;10.751;5.774
2019;16. Hortaleza;161. Palomas;4.763;757;12;41;3.953;18;474;536;1;0;0;3;-;906;-;1.706;1;190;118
2019;16. Hortaleza;162. Piovera;10.221;1.985;27;50;8.159;28;967;1.274;2;1;1;7;-;1.605;-;3.479;4;483;308
2019;16. Hortaleza;163. Canillas;32.144;7.301;162;203;24.478;184;2.363;7.057;15;3;12;36;-;3.568;-;6.611;32;3.065;1.532
2019;16. Hortaleza;164. Pinar del Rey;40.898;10.556;227;260;29.855;266;2.512;8.794;29;16;15;42;-;5.166;-;7.595;45;3.690;1.685
2019;16. Hortaleza;165. Apóstol Santiago;12.033;3.141;62;92;8.738;72;784;2.286;7;6;1;7;-;1.725;-;2.270;7;1.030;543
2019;16. Hortaleza;166. Valdefuentes;38.015;6.728;173;323;30.791;210;4.570;5.591;14;7;6;44;-;6.498;-;9.933;37;2.293;1.588
2019;17. Villaverde;17. Villaverde;99.037;31.707;570;524;66.236;568;4.773;24.606;53;63;39;88;-;9.567;-;11.579;148;10.852;3.900
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;30.115;10.358;191;143;19.423;168;1.296;7.478;21;23;10;22;-;2.823;-;3.210;33;3.259;1.080
2019;17. Villaverde;172. San Cristóbal;8.568;4.010;32;24;4.502;56;222;2.063;8;8;5;4;-;520;-;637;22;750;207
2019;17. Villaverde;173. Butarque;12.049;3.258;55;95;8.641;84;832;2.870;10;13;3;19;-;1.530;-;1.069;15;1.584;612
2019;17. Villaverde;174. Los Rosales;25.195;7.537;166;156;17.336;135;1.389;6.522;7;8;10;24;-;2.371;-;2.966;47;2.762;1.095
2019;17. Villaverde;175. Ángeles;23.110;6.544;126;106;16.334;125;1.034;5.673;7;11;11;19;-;2.323;-;3.697;31;2.497;906
2019;18. Villa de Vallecas;18. Villa de Vallecas;77.637;21.496;427;494;55.220;632;5.153;17.214;40;29;45;58;-;8.473;-;9.134;88;9.889;4.465
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;27.508;9.349;122;129;17.908;222;1.212;6.536;16;11;27;7;-;2.412;-;2.669;27;3.505;1.264
2019;18. Villa de Vallecas;182. Santa Eugenia;19.220;4.504;127;130;14.459;138;1.199;4.594;6;8;11;23;-;2.190;-;3.168;24;2.188;910
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;30.909;7.643;178;235;22.853;272;2.742;6.084;18;10;7;28;-;3.871;-;3.297;37;4.196;2.291
2019;19. Vicálvaro;19. Vicálvaro;50.900;12.905;341;316;37.338;338;3.532;12.241;31;28;21;49;-;5.474;-;6.762;54;6.116;2.692
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;23.617;7.797;142;110;15.568;159;1.108;5.759;11;11;14;13;-;2.303;-;3.028;23;2.323;816
2019;19. Vicálvaro;192. Valdebernardo;13.846;2.944;96;76;10.730;83;1.007;3.479;13;13;3;20;-;1.333;-;1.708;10;2.110;951
2019;19. Vicálvaro;193. Valderribas;12.106;1.940;91;116;9.959;82;1.289;2.736;7;4;4;15;-;1.604;-;1.858;18;1.504;838
2019;19. Vicálvaro;194. El Cañaveral;1.331;224;12;14;1.081;14;128;267;0;0;0;1;-;234;-;168;3;179;87
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;115.519;32.196;657;670;81.996;778;7.893;25.140;57;52;52;105;-;12.602;-;18.126;125;11.885;5.181
2019;20. San Blas-Canillejas;201. Simancas;19.359;6.094;101;120;13.044;142;1.240;4.151;8;9;8;18;-;1.958;-;2.763;24;1.916;807
2019;20. San Blas-Canillejas;202. Hellín;6.959;2.486;36;32;4.405;47;274;1.662;5;9;2;5;-;582;-;704;2;843;270
2019;20. San Blas-Canillejas;203. Amposta;6.109;2.529;44;14;3.522;49;231;1.363;3;2;5;5;-;502;-;580;3;603;176
2019;20. San Blas-Canillejas;204. Arcos;18.146;5.744;96;92;12.214;126;939;4.194;6;4;6;11;-;1.866;-;2.176;30;2.046;810
2019;20. San Blas-Canillejas;205. Rosas;23.981;4.277;151;182;19.371;136;2.212;5.670;12;12;8;27;-;2.787;-;4.238;24;2.841;1.404
2019;20. San Blas-Canillejas;206. Rejas;10.779;3.029;58;61;7.631;64;975;1.858;3;3;4;9;-;1.442;-;1.957;3;885;428
2019;20. San Blas-Canillejas;207. Canillejas;21.080;6.266;117;103;14.594;160;1.220;4.426;17;8;15;19;-;2.228;-;3.582;31;2.041;847
2019;20. San Blas-Canillejas;208. El Salvador;9.106;1.771;54;66;7.215;54;802;1.816;3;5;4;11;-;1.237;-;2.126;8;710;439
2019;21. Barajas;21. Barajas;35.714;7.478;181;234;27.821;246;3.225;6.686;18;10;11;49;-;5.094;-;7.958;25;2.862;1.637
2019;21. Barajas;211. Alameda de Osuna;15.077;2.589;61;96;12.331;79;1.386;2.825;8;3;0;15;-;2.038;-;4.033;12;1.184;748
2019;21. Barajas;212. Aeropuerto;1.242;473;8;7;754;4;69;239;1;0;1;1;-;184;-;115;0;93;47
2019;21. Barajas;213. Casco Histórico de Barajas;5.454;1.567;37;30;3.820;66;359;1.144;2;4;2;10;-;764;-;785;5;475;204
2019;21. Barajas;214. Timón;8.743;1.898;56;56;6.733;66;801;1.715;5;0;5;15;-;1.244;-;1.560;7;871;444
2019;21. Barajas;215. Corralejos;5.198;951;19;45;4.183;31;610;763;2;3;3;8;-;864;-;1.465;1;239;194
