AÑO;DISTRITO;Total Población;% de 0 a 15 años;% de 16 a 64 años;% de 65 años y más;% de 80 años y más;Razón de juventud;Razón de reemplazamiento;Razón de progresividad;Edad promedio;Desviación típica;Crecimiento vegetativo / Tasa de natalidad;Crecimiento vegetativo / Tasa de mortalidad;Crecimiento vegetativo;Crecimiento migratorio / Tasa de inmigración;Crecimiento migratorio / Tasa de emigración;Crecimiento migratorio / Migración neta
2018;17. Villaverde;154.318;16,32;66,79;16,89;6,35;96,65;82,84;93,58;41,98;-;9,05;7,06;1,99;63,50;35,80;27,70
2018;18. Villa de Vallecas;114.512;19,05;68,37;12,58;3,61;151,42;76,15;97,47;39,04;-;11,82;5,25;6,57;50,66;33,83;16,83
2018;19. Vicálvaro;74.048;17,99;67,64;14,37;4,85;125,24;99,13;73,03;41,04;-;7,91;5,66;2,24;48,42;28,60;19,83
2018;20. San Blas-Canillejas;161.222;15;67,61;17,39;6,79;86,27;78,81;88,81;42,45;-;7,35;7,84;-,49;53,53;31,80;21,73
2018;21. Barajas;50.010;18,08;64,01;17,91;4,46;100,97;83,95;87,07;41,93;-;8,41;5,80;2,61;44,27;31,10;13,17
2019;Ciudad de Madrid;3.312.310;13,76;66,21;20,03;7,08;68,72;59,93;92,86;44,18;-;7,78;11,50;-3,73;60,34;33,01;2,82
2019;01. Centro;141.236;7,51;76,94;15,55;5,02;48,30;33,92;112,72;43,88;-;6,13;8,89;-2,76;109,06;40,36;29,96
2019;02. Arganzuela;154.243;12,04;68,12;19,83;6,29;60,70;44,66;101,50;44,90;-;7,37;11,38;-4,01;52,53;31,15;0,59
2019;03. Retiro;118.557;12,18;61,60;26,21;8,70;46,47;45,40;94,18;47,31;-;6,70;13,62;-6,91;47,12;26,89;0,85
2019;04. Salamanca;146.016;11,06;65,14;23,80;8,57;46,47;47,34;107,28;46,20;-;7,83;13,18;-5,36;73,90;32,14;13,41
2019;05. Chamartín;145.700;13,67;62,91;23,42;8,24;58,35;49,57;101,92;45,52;-;8,90;12,95;-4,05;52,51;28,60;2,19
2019;06. Tetuán;159.849;11,44;69,60;18,95;6,88;60,38;51,42;109,72;44,02;-;8,43;12,36;-3,93;75,96;38,01;8,19
2019;07. Chamberí;138.667;10,65;65,13;24,23;8,54;43,96;44,38;107,84;46,36;-;7,70;12,77;-5,07;70,83;34,70;7,51
2019;08. Fuencarral-El Pardo;247.692;17,74;61,20;21,06;6,30;84,25;65,99;84,75;43,21;-;8,80;10,66;-1,86;43,57;30,17;-5,65
2019;09. Moncloa-Aravaca;120.834;14,10;64,02;21,88;7,44;64,44;66,93;89,70;44,65;-;7,72;12,25;-4,53;56,76;33,18;2,25
2019;10. Latina;240.155;12,05;63,79;24,16;9,25;49,88;57,57;91,74;46,51;-;6,41;13,18;-6,78;56,98;32,61;1,51
2019;11. Carabanchel;258.633;14,21;67,23;18,56;6,96;76,53;67,83;88,73;43,44;-;7,35;11,78;-4,44;69,58;36,73;3,46
2019;12. Usera;142.454;14,87;68,66;16,47;6,38;90,30;77,25;89,37;42,35;-;7,88;10,89;-3,01;67,22;36,72;4,17
2019;13. Puente de Vallecas;239.057;13,56;68,99;17,45;6,61;77,74;59,74;98,43;43,23;-;8,17;11,58;-3,41;66,30;35,35;2,85
2019;14. Moratalaz;93.810;11,41;62,54;26,05;10,50;43,79;53,74;89,67;47,90;-;6,19;14,69;-8,50;40,94;25,08;-7,48
2019;15. Ciudad Lineal;216.818;12,27;65,02;22,71;8,65;54,03;54,91;90,65;45,98;-;6,83;12,57;-5,74;57,68;31,72;1,44
2019;16. Hortaleza;193.228;17,58;63,86;18,57;5,78;94,66;71,38;87,99;42,54;-;9,54;9,35;0,20;48,36;31;-2,09
2019;17. Villaverde;154.808;15,99;67,37;16,64;6,33;96,11;77,83;92,58;42,09;-;8,63;10,14;-1,51;63,50;35,80;2,41
2019;18. Villa de Vallecas;114.733;18,91;68,43;12,66;3,56;149,33;73,09;89,67;39,30;-;10,30;8,28;2,02;50,66;33,83;-5,66
2019;19. Vicálvaro;75.485;17,39;68,52;14,08;5,07;123,53;92,60;75,53;41,19;-;6,98;8,49;-1,51;48,42;28,60;5,83
2019;20. San Blas-Canillejas;160.258;14,48;68,18;17,34;6,63;83,54;74,89;86,96;43,40;-;6,85;11,06;-4,21;53,53;31,80;-1,14
2019;21. Barajas;50.077;17,66;64,45;17,89;4,70;98,75;83,10;82,74;42,21;-;8,73;8,21;0,52;44,27;31,10;-5,83
