AÑO;DISTRITO;   Esperanza de vida Menos de 1 año;   Esperanza de vida  1 a 4 años;    Esperanza de vida 5 a 9 años;    Esperanza de vida 10 a 14 años;     Esperanza de vida 15 a 19 años;    Esperanza de vida 20 a 24 años;     Esperanza de vida 25 a 29 años;    Esperanza de vida 30 a 34 años;   Esperanza de vida  35 a 39 años;    Esperanza de vida 40 a 44 años;     Esperanza de vida 45 a 49 años;  Esperanza de vida   50 a 54 años;     Esperanza de vida 55 a 59 años;Esperanza de vida     60 a 64 años;    Esperanza de vida 65 a 69 años;    Esperanza de vida 70 a 74 años;  Esperanza de vida   75 a 79 años;     Esperanza de vida 80 a 84 años;  Esperanza de vida   85 a 89 años;    Esperanza de vida 90 a 94 años;   Esperanza de vida  95 y más años
2018;09. Moncloa-Aravaca;82,6;82;78,1;73,1;68,2;63,2;58,2;53,2;48,4;43,6;38,8;34;29,4;25;20,7;16,6;12,8;9,5;6,5;4,2;2,6
2018;10. Latina;82,4;81,5;77,5;72,5;67,5;62,6;57,7;52,7;47,8;43,1;38,3;33,6;29,1;24,8;20,7;16,6;13;9,6;6,7;4,7;3
2018;11. Carabanchel;81,6;80,8;76,8;71,9;66,9;62;57;52,1;47,2;42,3;37,4;32,6;28,1;23,7;19,6;15,9;12,3;9,1;6,3;4,1;2,6
2018;12. Usera;81,5;80,5;76,7;71,7;66,7;61,7;56,7;51,8;46,8;42;37,1;32,4;27,8;23,6;19,4;15,8;12,4;9,1;6,4;4,4;2,7
2018;13. Puente de Vallecas;80,5;79,8;75,8;70,8;65,9;60,9;56;51,1;46,2;41,4;36,6;32;27,5;23,3;19,3;15,5;12,1;9,1;6,5;4,3;3
2018;14. Moratalaz;82,5;81,5;77,5;72,5;67,5;62,5;57,5;52,7;47,8;43,1;38,4;33,7;29,2;24,9;20,6;16,3;12,9;9,6;6,6;4,6;2,9
2018;15. Ciudad Lineal;82,9;82;78,1;73,1;68,1;63,2;58,3;53,3;48,4;43,6;38,7;34;29,3;25;20,8;16,7;13;9,8;6,9;4,5;2,9
2018;16. Hortaleza;83,3;82,3;78,3;73,3;68,4;63,5;58,5;53,7;48,7;43,8;38,9;34,1;29,4;24,9;20,5;16,4;12,5;9,3;6,5;4,3;2,7
2018;17. Villaverde;81,8;80,9;77,1;72,1;67,1;62,1;57,2;52,3;47,3;42,4;37,6;32,8;28,2;23,9;19,7;15,9;12,2;9;6,5;4,5;2,9
2018;18. Villa de Vallecas;80,6;79,7;75,8;70,8;65,9;60,9;55,9;51;46;41,1;36,2;31,5;26,9;22,5;18,3;14,3;10,9;7,7;5,5;3,6;2,5
2018;19. Vicálvaro;81,9;80,9;76,9;71,9;66,9;61,9;56,9;51,9;47,1;42,2;37,4;32,6;28,2;23,8;19,7;15,9;12,3;9,1;6,2;3,7;2,8
2018;20. San Blas-Canillejas;82,2;81,3;77,3;72,3;67,3;62,3;57,4;52,4;47,5;42,6;37,8;33;28,4;24;19,9;16,3;12,5;9;6,3;4,5;2,9
2018;21. Barajas;83,6;82,6;78,6;73,6;68,6;63,6;58,7;53,8;48,8;44;39;34,2;29,7;25;20,8;16,5;12,7;9,1;6,1;4;2,6
