AÑO;DISTRITO;BARRIO;Andalucía Hombre;Andalucía Mujer;Aragón Hombre;Aragón Mujer;Principado de Asturias Hombre;Principado de Asturias Mujer;Islas Baleares Hombre;Islas Baleares Mujer;Canarias Hombre;Canarias Mujer;Cantabria Hombre;Cantabria Mujer;Castilla y León Hombre;Castilla y León Mujer;Castilla-La Mancha Hombre;Castilla-La Mancha Mujer;Cataluña Hombre;Cataluña Mujer;Extremadura Hombre;Extremadura Mujer;Galicia Hombre;Galicia Mujer;Comunidad de Madrid Hombre;Comunidad de Madrid Mujer;Región de Murcia Hombre;Región de Murcia Mujer;Comunidad Foral de Navarra Hombre;Comunidad Foral de Navarra Mujer;Comunitat Valenciana Hombre;Comunitat Valenciana Mujer;País Vasco Hombre;País Vasco Mujer;La Rioja Hombre;La Rioja Mujer;Ciudad Autónoma de Ceuta Hombre;Ciudad Autónoma de Ceuta Mujer;Ciudad Autónoma de Melilla Hombre;Ciudad Autónoma de Melilla Mujer;Otro país Hombre;Otro país Mujer;No consta Hombre;No consta Mujer
2017;02. Arganzuela;021. Imperial;451;566;92;105;113;115;10;13;48;56;44;56;915;1.299;619;821;128;108;285;356;191;246;6.034;6.411;59;74;28;43;123;139;113;146;26;52;33;29;37;35;495;684;2;1
2017;02. Arganzuela;022. Acacias;754;835;135;169;179;210;13;26;39;43;84;93;1.491;2.220;1.212;1.591;170;167;382;559;285;381;9.655;10.556;95;109;52;68;196;215;189;201;40;58;16;9;15;14;754;1.065;0;1
2017;02. Arganzuela;023. Chopera;372;454;64;84;61;90;12;12;34;18;31;50;600;988;620;857;46;73;205;330;135;188;4.336;4.801;45;55;19;31;89;102;71;97;17;16;6;12;19;21;953;1.215;0;0
2017;02. Arganzuela;024. Legazpi;387;412;85;87;114;124;5;10;27;32;44;48;637;794;456;536;105;92;186;219;171;185;5.760;5.646;59;51;39;31;104;85;129;132;16;34;7;8;5;11;485;576;0;0
2017;02. Arganzuela;025. Delicias;580;624;107;123;141;157;9;11;32;35;65;51;884;1.288;847;1.098;126;148;283;467;200;264;6.705;7.062;62;64;37;40;142;160;139;152;23;30;9;9;14;13;964;1.303;0;0
2017;02. Arganzuela;026. Palos de Moguer;584;597;108;122;160;177;23;17;46;34;55;67;851;1.193;804;1.116;119;128;330;435;190;263;5.297;5.884;60;91;36;50;152;146;134;172;29;41;9;11;6;11;1.115;1.408;0;1
2017;02. Arganzuela;027. Atocha;17;17;3;3;5;3;0;1;1;2;0;1;33;43;26;28;4;6;11;15;2;4;400;391;4;1;1;1;1;2;2;2;0;2;0;0;1;0;23;40;0;0
2017;03. Retiro;03. Retiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;03. Retiro;03. Retiro;2.455;3.081;530;711;528;648;96;102;202;220;306;433;3.667;5.397;2.990;4.248;591;746;983;1.329;909;1.221;32.108;35.339;353;396;185;237;706;816;703;951;122;204;68;67;76;92;2.754;4.027;3;2
2017;03. Retiro;031. Pacífico;670;853;143;194;150;177;26;22;48;60;83;118;1.122;1.725;954;1.395;142;201;303;407;227;321;8.471;9.564;89;119;46;62;171;182;162;214;36;52;18;15;21;36;919;1.282;2;1
2017;03. Retiro;032. Adelfas;398;453;59;93;74;80;8;8;36;24;44;52;678;986;545;742;83;98;167;230;110;154;4.999;5.507;54;47;19;31;100;105;75;95;14;22;6;4;7;8;417;527;1;1
2017;03. Retiro;033. Estrella;458;565;100;146;91;114;19;20;32;33;54;76;738;1.000;568;751;113;127;211;267;176;226;7.066;7.424;82;68;50;52;144;191;131;206;30;55;11;9;10;13;359;593;0;0
2017;03. Retiro;034. Ibiza;434;580;96;129;95;145;17;20;33;33;59;85;505;855;456;733;117;151;155;233;178;268;5.404;6.164;57;80;32;44;116;161;158;206;13;33;8;14;8;11;563;897;0;0
2017;03. Retiro;035. Los Jerónimos;219;229;54;67;38;47;10;11;26;32;23;35;174;230;142;191;52;60;51;67;106;96;1.699;1.798;30;31;16;13;61;43;70;69;13;14;14;16;19;17;228;298;0;0
2017;03. Retiro;036. Niño Jesús;276;401;78;82;80;85;16;21;27;38;43;67;450;601;325;436;84;109;96;125;112;156;4.469;4.882;41;51;22;35;114;134;107;161;16;28;11;9;11;7;268;430;0;0
