AÑO;DISTRITO;Servicios Administrativos;Centro Servicios Sociales y Similares;Centros de carácter  cultural;Mercado;Cantones de  Limpieza;Parque de  Bomberos;Colegios y Centros  de Enseñanza;Centros  Deportivos;Aparcamiento;Solares;Otros Inmuebles demaniales no incluidos en los anteriores
2020;20. San Blas-Canillejas;1;6;3;0;2;0;16;11;0;7;3
2020;21. Barajas;2;1;5;0;2;0;5;6;0;2;6
2018;Ciudad de Madrid;86;180;127;26;48;10;319;132;3;100;129
2018;01. Centro;22;12;12;4;4;2;14;1;2;4;14
2018;02. Arganzuela;10;8;12;1;3;0;13;7;0;4;11
2018;03. Retiro;3;2;4;1;2;0;8;2;0;5;1
2018;04. Salamanca;4;3;4;1;1;0;4;1;0;1;1
2018;05. Chamartín;4;5;2;3;5;0;10;3;0;1;1
2018;06. Tetuán;1;10;4;3;3;1;11;4;0;1;0
2018;07. Chamberí;3;5;8;2;0;1;4;4;1;0;1
2018;08. Fuencarral-El Pardo;0;7;8;0;3;1;29;11;0;10;2
2018;09. Moncloa-Aravaca;9;11;9;0;2;0;12;5;0;2;38
2018;10. Latina;4;14;12;2;0;1;34;9;0;7;1
2018;11. Carabanchel;3;10;7;0;4;0;19;8;0;5;3
2018;12. Usera;2;6;4;3;2;1;17;8;0;5;2
2018;13. Puente de Vallecas;2;10;6;2;2;1;26;8;0;6;10
2018;14. Moratalaz;0;11;4;0;1;0;14;5;0;6;12
2018;15. Ciudad Lineal;2;7;4;0;2;0;15;10;0;4;4
2018;16. Hortaleza;5;27;5;0;4;1;23;15;0;9;3
2018;17. Villaverde;2;12;6;1;2;1;22;7;0;9;3
2018;18. Villa de Vallecas;2;7;4;2;2;0;7;3;0;9;6
2018;19. Vicálvaro;5;5;4;1;2;0;12;3;0;4;3
2018;20. San Blas-Canillejas;1;6;3;0;2;0;18;12;0;7;4
2018;21. Barajas;2;2;5;0;2;0;6;6;0;1;6
2019;Ciudad de Madrid;97;183;128;26;48;9;323;135;3;101;133
2019;01. Centro;23;13;13;4;4;1;15;1;2;4;14
2019;02. Arganzuela;10;8;12;1;3;0;14;7;0;4;11
2019;03. Retiro;3;2;4;1;2;0;9;2;0;5;1
2019;04. Salamanca;4;3;4;1;1;0;4;1;0;1;1
2019;05. Chamartín;4;5;2;3;5;0;10;3;0;1;1
2019;06. Tetuán;1;10;4;3;3;1;11;4;0;1;0
2019;07. Chamberí;12;5;8;2;0;1;4;4;1;0;2
2019;08. Fuencarral-El Pardo;0;8;8;0;3;1;29;11;0;10;2
2019;09. Moncloa-Aravaca;9;11;9;0;2;0;12;5;0;2;38
2019;10. Latina;4;14;12;2;0;1;34;9;0;7;1
2019;11. Carabanchel;3;10;7;0;4;0;19;8;0;5;3
2019;12. Usera;2;6;4;3;2;1;17;8;0;5;2
2019;13. Puente de Vallecas;2;11;6;2;2;1;26;10;0;6;10
2019;14. Moratalaz;0;11;4;0;1;0;14;5;0;6;12
2019;15. Ciudad Lineal;2;7;4;0;2;0;15;11;0;4;4
2019;16. Hortaleza;5;27;5;0;4;1;24;15;0;9;3
2019;17. Villaverde;2;12;6;1;2;1;22;7;0;9;4
2019;18. Villa de Vallecas;2;7;4;2;2;0;7;3;0;9;7
2019;19. Vicálvaro;5;5;4;1;2;0;12;3;0;5;4
2019;20. San Blas-Canillejas;2;6;3;0;2;0;18;12;0;7;4
2019;21. Barajas;2;2;5;0;2;0;6;6;0;1;6
