AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PP;PSOE;Cs;MAS MADRID;VOX;PODEMOS-IU;Resto de candidaturas
2017;03. Retiro;034. Ibiza;16,719;4,448;32;45;12,194;3,722;2,671;2,519;1,563;1,182;435;102
2017;03. Retiro;035. Los Jerónimos;5,508;1,449;9;16;4,034;1,573;603;816;382;528;109;23
2017;03. Retiro;036. Niño Jesús;12,122;2,484;11;34;9,593;3,551;1,625;2,2;866;1,099;191;61
2017;04. Salamanca;04. Salamanca;111,198;29,398;201;319;81,28;30,185;13,547;17,743;7,748;9,496;1,879;682
2017;04. Salamanca;041. Recoletos;11,41;3,014;20;40;8,336;4,167;802;1,689;337;1,207;96;38
2017;04. Salamanca;042. Goya;22,536;6,424;43;71;15,998;5,808;2,732;3,669;1,432;1,871;357;129
2017;04. Salamanca;043. Fuente del Berro;16,363;4,393;33;39;11,898;3,308;2,688;2,687;1,665;1,041;400;109
2017;04. Salamanca;044. Guindalera;32,547;8,181;65;104;24,197;7,638;4,706;5,414;2,912;2,53;719;278
2017;04. Salamanca;045. Lista;15,857;4,258;29;29;11,541;4,461;1,819;2,539;1,02;1,429;210;63
2017;04. Salamanca;046. Castellana;12,485;3,128;11;36;9,31;4,803;800;1,745;382;1,418;97;65
2017;05. Chamartín;05. Chamartín;;;;;;;;;;;;
2017;05. Chamartín;05. Chamartín;112,253;27,201;199;362;84,491;31,418;13,84;19,819;7,515;9,295;1,984;620
2017;05. Chamartín;051. El Viso;12,977;2,923;9;42;10,003;5,049;929;2,168;390;1,341;85;41
2017;05. Chamartín;052. Prosperidad;28,925;7,311;68;98;21,448;6,303;4,623;4,884;2,71;1,989;750;189
2017;05. Chamartín;053. Ciudad Jardín;14,321;3,817;22;40;10,442;3,013;2,325;2,196;1,482;905;417;104
2017;05. Chamartín;054. Hispanoamérica;24,703;5,782;36;75;18,81;7,488;2,692;4,699;1,242;2,197;373;119
2017;05. Chamartín;055. Nueva España;18,189;4,126;25;55;13,983;6,06;1,633;3,522;755;1,738;187;88
2017;05. Chamartín;056. Castilla;13,138;3,242;39;52;9,805;3,505;1,638;2,35;936;1,125;172;79
2017;06. Tetuán;06. Tetuán;;;;;;;;;;;;
2017;06. Tetuán;06. Tetuán;111,793;39,25;299;350;71,894;18,552;17,415;13,834;11,265;6,67;3,37;788
2017;06. Tetuán;061. Bellas Vistas;19,607;7,363;39;73;12,132;2,755;3,381;2,091;2,224;899;637;145
