AÑO;DISTRITO;BARRIO;A Agricultura, ganadería, silvicultura y pesca;B Industrias extractivas;C Industria manufacturera;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;F Construcción;"G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";H Transporte y almacenamiento;I Hostelería;J Información y comunicaciones;K Actividades financieras y de seguros;L Actividades inmobiliarias;M Actividades profesionales, científicas y técnicas;N Actividades administrativas y servicios auxiliares;"O Administración Pública y defensa; Seguridad Social obligatoria";P Educación;Q Actividades sanitarias y de servicios sociales;R Actividades artísticas, recreativas y de entretenimiento;S Otros servicios;T Actividades empleos de personal doméstico y/o productora de servicios;U Actividades de organizaciones y organismos extraterritoriales;Z No consta
2017;03. Retiro;036. Niño Jesús;9;4;204;33;14;166;688;157;152;470;412;124;963;361;245;530;584;110;124;276;3;2
2017;04. Salamanca;04. Salamanca;;;;;;;;;;;;;;;;;;;;;;
2017;04. Salamanca;04. Salamanca;87;40;1.857;252;117;1.446;6.794;1.464;2.466;4.780;3.975;1.062;9.305;4.072;2.110;4.066;4.438;1.009;1.555;3.761;69;16
2017;04. Salamanca;041. Recoletos;15;5;151;28;6;139;682;88;150;370;506;210;1.127;414;149;324;301;82;203;555;5;6
2017;04. Salamanca;042. Goya;14;13;403;46;28;265;1.415;319;530;913;812;204;1.927;789;449;807;1.024;224;265;726;16;2
2017;04. Salamanca;043. Fuente del Berro;7;3;317;30;12;242;1.077;254;472;824;471;101;1.127;708;370;651;772;151;242;419;5;3
2017;04. Salamanca;044. Guindalera;13;16;591;71;47;428;1.939;519;733;1.645;1.045;197;2.383;1.283;721;1.375;1.374;331;455;871;22;3
2017;04. Salamanca;045. Lista;8;1;266;48;13;195;958;181;385;624;532;153;1.428;519;280;557;630;145;203;527;10;2
2017;04. Salamanca;046. Castellana;30;2;129;29;11;177;723;103;196;404;609;197;1.313;359;141;352;337;76;187;663;11;0
2017;05. Chamartín;05. Chamartín;;;;;;;;;;;;;;;;;;;;;;
2017;05. Chamartín;05. Chamartín;81;52;1.841;364;114;1.538;6.745;1.559;2.236;4.935;4.496;1.065;10.029;4.052;1.985;4.240;4.073;974;1.440;3.432;67;11
2017;05. Chamartín;051. El Viso;26;4;140;32;11;202;718;120;153;400;642;240;1.476;467;154;394;322;114;165;714;6;2
2017;05. Chamartín;052. Prosperidad;9;16;525;85;31;397;1.763;495;755;1.515;936;181;2.118;1.114;621;1.185;1.211;227;378;745;16;4
2017;05. Chamartín;053. Ciudad Jardín;7;2;247;43;13;207;898;227;484;640;449;90;1.125;617;266;634;565;160;198;430;11;3
2017;05. Chamartín;054. Hispanoamérica;14;10;392;83;27;316;1.493;265;372;1.034;1.080;203;2.245;726;428;869;853;202;322;644;10;1
2017;05. Chamartín;055. Nueva España;20;12;306;79;17;269;1.095;217;235;750;897;250;1.925;613;260;633;585;166;209;636;11;1
2017;05. Chamartín;056. Castilla;5;8;231;42;15;147;778;235;237;596;492;101;1.139;515;256;525;537;105;168;263;13;0
2017;06. Tetuán;06. Tetuán;;;;;;;;;;;;;;;;;;;;;;
